"","Date","Set","Trophy","Colors","W","L","Format","Start Rank","End Rank"
"176","6/3/2021 10:48","STX",NA,"UBGr","2","3","PremierDraft","Diamond-4","Diamond-4"
"177","6/3/2021 10:01","STX",NA,"BGw","1","3","PremierDraft","Diamond-4","Diamond-4"
"178","6/3/2021 8:44","STX",NA,"UBGr","1","3","PremierDraft","Diamond-4","Diamond-4"
"179","6/3/2021 8:08","STX",NA,"UBRg","0","3","PremierDraft","Diamond-3","Diamond-3"
"180","6/3/2021 7:25","STX",NA,"WUR","1","3","PremierDraft","Diamond-3","Diamond-3"
"181","6/3/2021 5:04","STX",NA,"WUR","6","3","PremierDraft","Diamond-4","Diamond-3"
"182","6/3/2021 4:11","STX",NA,"URGw","2","3","PremierDraft","Diamond-4","Diamond-4"
"183","6/3/2021 1:56","STX",NA,"UR","6","3","PremierDraft","Platinum-1","Diamond-4"
"184","6/3/2021 0:37","STX","x","BGw","7","1","PremierDraft","Platinum-2","Platinum-1"
"185","6/2/2021 23:33","STX",NA,"UGr","3","3","PremierDraft","Platinum-3","Platinum-2"
"186","6/2/2021 12:25","STX","x","WR","7","1","PremierDraft","Platinum-4","Platinum-3"
"187","6/2/2021 11:07","STX",NA,"WR","3","3","PremierDraft","Platinum-4","Platinum-4"
"188","6/2/2021 10:13","STX",NA,"URwg","1","3","PremierDraft","Platinum-3","Platinum-4"
"189","6/2/2021 8:47","STX",NA,"UBG","4","3","PremierDraft","Platinum-4","Platinum-3"
"190","6/2/2021 7:09","STX",NA,"UGr","6","3","PremierDraft","Platinum-4","Platinum-4"
"191","6/2/2021 6:30","STX",NA,"WBrg","2","3","PremierDraft","Platinum-4","Platinum-4"
"192","6/2/2021 5:39","STX",NA,"WRb","1","3","PremierDraft","Platinum-4","Platinum-4"
"193","6/2/2021 4:14","STX",NA,"WURg","2","3","PremierDraft","Platinum-4","Platinum-4"
"194","6/2/2021 2:12","STX",NA,"WB","3","3","PremierDraft","Platinum-4","Platinum-4"
"195","6/2/2021 0:37","STX",NA,"WBG","4","3","PremierDraft","Platinum-4","Platinum-4"
"196","6/1/2021 23:35","STX",NA,"WB","5","3","PremierDraft","Platinum-4","Platinum-4"
"197","6/1/2021 22:40","STX",NA,"WBr","2","3","PremierDraft","Platinum-4","Platinum-4"
"198","5/31/2021 10:00","STX","x","UG","7","2","PremierDraft","Mythic-1","Mythic-1"
"199","5/31/2021 8:35","STX",NA,"WBr","2","3","PremierDraft","Mythic-1","Mythic-1"
"200","5/31/2021 6:53","STX",NA,"WBRu","4","3","PremierDraft","Mythic-1","Mythic-1"
"201","5/31/2021 5:23","STX",NA,"WRb","6","3","PremierDraft","Mythic-1","Mythic-1"
"202","5/31/2021 3:55","STX",NA,"WB","2","3","PremierDraft","Mythic-1","Mythic-1"
"203","5/31/2021 3:17","STX",NA,"WBr","0","3","PremierDraft","Mythic-1","Mythic-1"
"204","5/31/2021 2:18","STX",NA,"WB","3","3","PremierDraft","Mythic-1","Mythic-1"
"205","5/31/2021 1:13","STX",NA,"WB","5","3","PremierDraft","Mythic-1","Mythic-1"
"206","5/30/2021 13:17","STX",NA,"UBGwr","2","3","PremierDraft","Mythic-1","Mythic-1"
"207","5/30/2021 11:46","STX",NA,"UGr","3","3","PremierDraft","Mythic-1","Mythic-1"
"208","5/30/2021 10:40","STX",NA,"WB","2","3","PremierDraft","Mythic-1","Mythic-1"
"209","5/30/2021 9:35","STX",NA,"URw","2","3","PremierDraft","Mythic-1","Mythic-1"
"210","5/30/2021 8:25","STX",NA,"WBR","3","3","PremierDraft","Mythic-1","Mythic-1"
"211","5/28/2021 13:56","STX",NA,"UGbr","3","3","PremierDraft","Mythic-1","Mythic-1"
"212","5/28/2021 13:03","STX",NA,"WUR","0","3","PremierDraft","Mythic-1","Mythic-1"
"213","5/28/2021 12:20","STX",NA,"UBRG","1","3","PremierDraft","Mythic-1","Mythic-1"
"214","5/28/2021 11:15","STX",NA,"UBRw","3","3","PremierDraft","Mythic-1","Mythic-1"
"215","5/27/2021 12:10","STX",NA,"WUGbr","1","3","PremierDraft","Mythic-1","Mythic-1"
"216","5/27/2021 11:12","STX",NA,"WB","2","3","PremierDraft","Mythic-1","Mythic-1"
"217","5/27/2021 10:03","STX",NA,"WB","4","3","PremierDraft","Diamond-1","Mythic-1"
"218","5/26/2021 12:23","STX","x","WB","7","1","PremierDraft","Diamond-2","Diamond-1"
"219","5/26/2021 11:09","STX",NA,"UGbr","1","3","PremierDraft","Diamond-2","Diamond-2"
"220","5/19/2021 4:43","STX",NA,"UR","5","3","PremierDraft","Diamond-2","Diamond-2"
"221","5/19/2021 4:07","STX",NA,"WBr","0","3","PremierDraft","Diamond-2","Diamond-2"
"222","5/18/2021 22:36","STX",NA,"URg","0","3","PremierDraft","Diamond-1","Diamond-2"
"223","5/17/2021 10:47","STX",NA,"UG","3","3","PremierDraft","Diamond-1","Diamond-1"
"224","5/17/2021 2:38","STX","x","WR","7","2","PremierDraft","Diamond-2","Diamond-1"
"225","5/17/2021 2:08","STX",NA,"WBr","0","3","PremierDraft","Diamond-2","Diamond-2"
"226","5/17/2021 1:00","STX",NA,"WB","5","3","PremierDraft","Diamond-2","Diamond-2"
"227","5/17/2021 0:01","STX",NA,"WB","2","3","PremierDraft","Diamond-2","Diamond-2"
"228","5/16/2021 7:21","STX",NA,"WB","6","3","PremierDraft","Diamond-3","Diamond-2"
"229","5/16/2021 5:34","STX",NA,"URG","4","3","PremierDraft","Diamond-4","Diamond-3"
"230","5/16/2021 4:14","STX","x","WB","7","2","PremierDraft","Platinum-1","Diamond-4"
"231","5/16/2021 2:19","STX",NA,"URw","4","3","PremierDraft","Platinum-2","Platinum-1"
"232","5/14/2021 16:03","STX",NA,"WBg","1","3","PremierDraft","Platinum-1","Platinum-2"
"233","5/14/2021 15:17","STX",NA,"BGw","0","3","PremierDraft","Platinum-1","Platinum-1"
"234","5/14/2021 6:36","STX","x","WBr","7","0","PremierDraft","Platinum-3","Platinum-1"
"235","5/14/2021 5:45","STX",NA,"UBG","0","3","PremierDraft","Platinum-2","Platinum-3"
