Date,Set,Trophy,Colors,W/L,Format,Start Rank,End Rank,Shareable Links
5/31/2021 8:35,STX,,WBr,2 - 3,PremierDraft,Mythic-1,Mythic-1,"Draft, Pool, Deck 1, Deck 2, Details"
5/31/2021 6:53,STX,,WBRu,4 - 3,PremierDraft,Mythic-1,Mythic-1,"Draft, Pool, Deck 1, Details"
5/31/2021 5:23,STX,,WRb,6 - 3,PremierDraft,Mythic-1,Mythic-1,"Draft, Pool, Deck 1, Deck 2, Details"
5/31/2021 3:55,STX,,WB,2 - 3,PremierDraft,Mythic-1,Mythic-1,"Draft, Pool, Deck 1, Details"
5/31/2021 3:17,STX,,WBr,0 - 3,PremierDraft,Mythic-1,Mythic-1,"Draft, Pool, Deck 1, Details"
5/31/2021 2:18,STX,,WB,3 - 3,PremierDraft,Mythic-1,Mythic-1,"Draft, Pool, Deck 1, Details"
5/31/2021 1:13,STX,,WB,5 - 3,PremierDraft,Mythic-1,Mythic-1,"Draft, Pool, Deck 1, Details"
5/30/2021 13:17,STX,,UBGwr,2 - 3,PremierDraft,Mythic-1,Mythic-1,"Draft, Pool, Deck 1, Details"
5/30/2021 11:46,STX,,UGr,3 - 3,PremierDraft,Mythic-1,Mythic-1,"Draft, Pool, Deck 1, Details"
5/30/2021 10:40,STX,,WB,2 - 3,PremierDraft,Mythic-1,Mythic-1,"Draft, Pool, Deck 1, Details"
5/30/2021 9:35,STX,,URw,2 - 3,PremierDraft,Mythic-1,Mythic-1,"Draft, Pool, Deck 1, Details"
5/30/2021 8:25,STX,,WBR,3 - 3,PremierDraft,Mythic-1,Mythic-1,"Draft, Pool, Deck 1, Details"
5/28/2021 13:56,STX,,UGbr,3 - 3,PremierDraft,Mythic-1,Mythic-1,"Draft, Pool, Deck 1, Details"
5/28/2021 13:03,STX,,WUR,0 - 3,PremierDraft,Mythic-1,Mythic-1,"Draft, Pool, Deck 1, Details"
5/28/2021 12:20,STX,,UBRG,1 - 3,PremierDraft,Mythic-1,Mythic-1,"Draft, Pool, Deck 1, Details"
